date,deaths
2020-03-16,1
2020-03-17,2
2020-03-18,3
2020-03-19,5
2020-03-20,5
2020-03-21,7
2020-03-22,9
2020-03-23,12
2020-03-24,14
2020-03-25,19
2020-03-26,21
2020-03-27,29
2020-03-28,33
2020-03-29,53
2020-03-30,65
2020-03-31,81
2020-04-01,105
2020-04-02,120
2020-04-03,144
2020-04-04,166
2020-04-05,192
2020-04-06,214
2020-04-07,239
2020-04-08,275
2020-04-09,300
2020-04-10,332
2020-04-11,365
2020-04-12,398
2020-04-13,431
2020-04-14,464
2020-04-15,495
2020-04-16,526
2020-04-17,569
2020-04-18,608
2020-04-19,643
2020-04-20,683
2020-04-21,719
2020-04-22,764
2020-04-23,800
2020-04-24,854
2020-04-25,892
2020-04-26,943
2020-04-27,978
2020-04-28,1034
2020-04-29,1078
2020-04-30,1118
2020-05-01,1157
2020-05-02,1206
2020-05-03,1251
2020-05-04,1299
2020-05-05,1357
2020-05-06,1401
2020-05-07,1450
2020-05-08,1494
2020-05-09,1547
2020-05-10,1585
2020-05-11,1623
2020-05-12,1669
2020-05-13,1714
2020-05-14,1759
2020-05-15,1808
2020-05-16,1836
2020-05-17,1877
2020-05-18,1910
2020-05-19,1937
2020-05-20,1966
2020-05-21,2000
2020-05-22,2036
2020-05-23,2066
2020-05-24,2093
2020-05-25,2116
2020-05-26,2139
2020-05-27,2165
2020-05-28,2187
2020-05-29,2207
2020-05-30,2228
2020-05-31,2250
2020-06-01,2271
2020-06-02,2296
2020-06-03,2316
2020-06-04,2331
2020-06-05,2348
2020-06-06,2368
2020-06-07,2388
2020-06-08,2403
2020-06-09,2426
2020-06-10,2438
2020-06-11,2448
2020-06-12,2469
2020-06-13,2487
2020-06-14,2499
2020-06-15,2519
2020-06-16,2530
2020-06-17,2551
2020-06-18,2565
2020-06-19,2580
2020-06-20,2590
2020-06-21,2601
2020-06-22,2610
2020-06-23,2618
2020-06-24,2627
2020-06-25,2638
2020-06-26,2651
2020-06-27,2656
2020-06-28,2661
2020-06-29,2668
2020-06-30,2671
2020-07-01,2684
2020-07-02,2690
2020-07-03,2695
2020-07-04,2700
2020-07-05,2703
2020-07-06,2708
2020-07-07,2712
2020-07-08,2716
2020-07-09,2724
2020-07-10,2730
2020-07-11,2732
2020-07-12,2736
2020-07-13,2739
2020-07-14,2742
2020-07-15,2749
2020-07-16,2751
2020-07-17,2754
2020-07-18,2758
2020-07-19,2760
2020-07-20,2765
2020-07-21,2766
2020-07-22,2770
2020-07-23,2773
2020-07-24,2776
2020-07-25,2784
2020-07-26,2790
2020-07-27,2791
2020-07-28,2794
2020-07-29,2797
2020-07-30,2800
2020-07-31,2802
2020-08-01,2807
2020-08-02,2810
2020-08-03,2813
2020-08-04,2815
2020-08-05,2819
2020-08-06,2823
2020-08-07,2825
2020-08-08,2828
2020-08-09,2830
2020-08-10,2831
2020-08-11,2835
2020-08-12,2837
2020-08-13,2841
2020-08-14,2844
2020-08-15,2849
2020-08-16,2852
2020-08-17,2855
2020-08-18,2856
2020-08-19,2861
2020-08-20,2864
2020-08-21,2869
2020-08-22,2871
2020-08-23,2872
2020-08-24,2875
2020-08-25,2879
2020-08-26,2882
2020-08-27,2884
2020-08-28,2888
2020-08-29,2892
2020-08-30,2897
2020-08-31,2899
2020-09-01,2902
2020-09-02,2905
2020-09-03,2908
2020-09-04,2910
2020-09-05,2913
2020-09-06,2915
2020-09-07,2916
2020-09-08,2917
2020-09-09,2922
2020-09-10,2924
2020-09-11,2929
2020-09-12,2929
2020-09-13,2932
2020-09-14,2935
2020-09-15,2936
2020-09-16,2940
2020-09-17,2940
2020-09-18,2944
2020-09-19,2946
2020-09-20,2952
2020-09-21,2954
2020-09-22,2956
2020-09-23,2962
2020-09-24,2967
2020-09-25,2970
2020-09-26,2974
2020-09-27,2975
2020-09-28,2977
2020-09-29,2983
2020-09-30,2985
2020-10-01,2989
2020-10-02,2992
2020-10-03,2995
2020-10-04,3000
2020-10-05,3003
2020-10-06,3005
2020-10-07,3006
2020-10-08,3009
2020-10-09,3013
2020-10-10,3018
2020-10-11,3022
2020-10-12,3026
2020-10-13,3031
2020-10-14,3034
2020-10-15,3036
2020-10-16,3039
2020-10-17,3044
2020-10-18,3045
2020-10-19,3049
2020-10-20,3054
2020-10-21,3060
2020-10-22,3064
2020-10-23,3068
2020-10-24,3073
2020-10-25,3083
2020-10-26,3091
2020-10-27,3095
2020-10-28,3103
2020-10-29,3107
2020-10-30,3111
2020-10-31,3121
2020-11-01,3127
2020-11-02,3142
2020-11-03,3155
2020-11-04,3163
2020-11-05,3169
2020-11-06,3179
2020-11-07,3192
2020-11-08,3203
2020-11-09,3217
2020-11-10,3231
2020-11-11,3240
2020-11-12,3257
2020-11-13,3277
2020-11-14,3293
2020-11-15,3306
2020-11-16,3332
2020-11-17,3353
2020-11-18,3370
2020-11-19,3387
2020-11-20,3418
2020-11-21,3436
2020-11-22,3451
2020-11-23,3470
2020-11-24,3486
2020-11-25,3503
2020-11-26,3525
2020-11-27,3546
2020-11-28,3563
2020-11-29,3580
2020-11-30,3602
2020-12-01,3637
2020-12-02,3671
2020-12-03,3701
2020-12-04,3733
2020-12-05,3744
2020-12-06,3770
2020-12-07,3804
2020-12-08,3838
2020-12-09,3866
2020-12-10,3885
2020-12-11,3913
2020-12-12,3934
2020-12-13,3956
2020-12-14,3977
2020-12-15,3996
2020-12-16,4021
2020-12-17,4044
2020-12-18,4063
2020-12-19,4086
2020-12-20,4115
2020-12-21,4141
2020-12-22,4158
2020-12-23,4179
2020-12-24,4200
2020-12-25,4220
2020-12-26,4239
2020-12-27,4263
2020-12-28,4281
2020-12-29,4302
2020-12-30,4325
2020-12-31,4347
2021-01-01,4367
2021-01-02,4388
2021-01-03,4408
2021-01-04,4418
2021-01-05,4434
2021-01-06,4447
2021-01-07,4464
2021-01-08,4482
2021-01-09,4499
2021-01-10,4516
2021-01-11,4532
2021-01-12,4544
2021-01-13,4561
2021-01-14,4576
2021-01-15,4587
2021-01-16,4600
2021-01-17,4615
2021-01-18,4629
2021-01-19,4648
2021-01-20,4660
2021-01-21,4669
2021-01-22,4681
2021-01-23,4690
2021-01-24,4706
2021-01-25,4717
2021-01-26,4728
2021-01-27,4741
2021-01-28,4751
2021-01-29,4766
2021-01-30,4777
2021-01-31,4793
2021-02-01,4802
2021-02-02,4808
2021-02-03,4815
2021-02-04,4824
2021-02-05,4832
2021-02-06,4844
2021-02-07,4852
2021-02-08,4865
2021-02-09,4872
2021-02-10,4883
2021-02-11,4892
2021-02-12,4905
2021-02-13,4913
2021-02-14,4922
2021-02-15,4929
2021-02-16,4934
2021-02-17,4942
2021-02-18,4948
2021-02-19,4955
2021-02-20,4964
2021-02-21,4972
2021-02-22,4979
2021-02-23,4990
2021-02-24,4994
2021-02-25,5002
2021-02-26,5008
2021-02-27,5015
2021-02-28,5018
2021-03-01,5020
2021-03-02,5027
2021-03-03,5032
2021-03-04,5039
2021-03-05,5044
2021-03-06,5046
2021-03-07,5050
2021-03-08,5055
2021-03-09,5060
2021-03-10,5069
2021-03-11,5070
2021-03-12,5078
2021-03-13,5080
2021-03-14,5084
2021-03-15,5090
2021-03-16,5093
2021-03-17,5102
2021-03-18,5105
2021-03-19,5107
2021-03-20,5113
2021-03-21,5117
2021-03-22,5118
2021-03-23,5123
2021-03-24,5129
2021-03-25,5132
2021-03-26,5138
2021-03-27,5142
2021-03-28,5149
2021-03-29,5152
2021-03-30,5155
2021-03-31,5159
2021-04-01,5161
2021-04-02,5163
2021-04-03,5172
2021-04-04,5176
2021-04-05,5182
2021-04-06,5186
2021-04-07,5189
2021-04-08,5195
2021-04-09,5200
2021-04-10,5207
2021-04-11,5212
2021-04-12,5217
2021-04-13,5221
2021-04-14,5228
2021-04-15,5236
2021-04-16,5241
2021-04-17,5247
2021-04-18,5254
2021-04-19,5260
2021-04-20,5265
2021-04-21,5272
2021-04-22,5276
2021-04-23,5282
2021-04-24,5292
2021-04-25,5303
2021-04-26,5308
2021-04-27,5313
2021-04-28,5318
2021-04-29,5325
2021-04-30,5332
2021-05-01,5336
2021-05-02,5350
2021-05-03,5355
2021-05-04,5360
2021-05-05,5365
2021-05-06,5373
2021-05-07,5384
2021-05-08,5392
2021-05-09,5401
2021-05-10,5407
2021-05-11,5416
2021-05-12,5422
2021-05-13,5429
2021-05-14,5435
2021-05-15,5440
2021-05-16,5449
2021-05-17,5455
2021-05-18,5461
2021-05-19,5467
2021-05-20,5471
2021-05-21,5476
2021-05-22,5481
2021-05-23,5487
2021-05-24,5491
2021-05-25,5494
2021-05-26,5499
2021-05-27,5504
2021-05-28,5508
2021-05-29,5514
2021-05-30,5521
2021-05-31,5523
2021-06-01,5528
2021-06-02,5535
2021-06-03,5542
2021-06-04,5548
2021-06-05,5554
2021-06-06,5561
2021-06-07,5570
2021-06-08,5574
2021-06-09,5578
2021-06-10,5580
2021-06-11,5582
2021-06-12,5586
2021-06-13,5590
2021-06-14,5593
2021-06-15,5595
2021-06-16,5596
2021-06-17,5598
2021-06-18,5600
2021-06-19,5602
2021-06-20,5603
2021-06-21,5606
2021-06-22,5609
2021-06-23,5609
2021-06-24,5609
2021-06-25,5612
2021-06-26,5612
2021-06-27,5613
2021-06-28,5615
2021-06-29,5616
2021-06-30,5616
2021-07-01,5617
2021-07-02,5618
2021-07-03,5618
2021-07-04,5619
2021-07-05,5621
2021-07-06,5623
2021-07-07,5625
2021-07-08,5625
2021-07-09,5625
2021-07-10,5625
2021-07-11,5626
2021-07-12,5626
2021-07-13,5626
2021-07-14,5626
2021-07-15,5626
