date,tot.hosp
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,789
2020-04-03,859
2020-04-04,870
2020-04-05,924
2020-04-06,982
2020-04-07,997
2020-04-08,1059
2020-04-09,1112
2020-04-10,1087
2020-04-11,1121
2020-04-12,1113
2020-04-13,1156
2020-04-14,1211
2020-04-15,1215
2020-04-16,1246
2020-04-17,1193
2020-04-18,1150
2020-04-19,1240
2020-04-20,
2020-04-21,1287
2020-04-22,1377
2020-04-23,1304
2020-04-24,1297
2020-04-25,1250
2020-04-26,1302
2020-04-27,1295
2020-04-28,1400
2020-04-29,1373
2020-04-30,1303
2020-05-01,1339
2020-05-02,1269
2020-05-03,1304
2020-05-04,1317
2020-05-05,1246
2020-05-06,1323
2020-05-07,1390
2020-05-08,1363
2020-05-09,1280
2020-05-10,1248
2020-05-11,1410
2020-05-12,1363
2020-05-13,1322
2020-05-14,1315
2020-05-15,1271
2020-05-16,1178
2020-05-17,1172
2020-05-18,1183
2020-05-19,1141
2020-05-20,1116
2020-05-21,1056
2020-05-22,1048
2020-05-23,981
2020-05-24,999
2020-05-25,1004
2020-05-26,1035
2020-05-27,996
2020-05-28,917
2020-05-29,884
2020-05-30,865
2020-05-31,826
2020-06-01,821
2020-06-02,825
2020-06-03,822
2020-06-04,745
2020-06-05,734
2020-06-06,682
2020-06-07,629
2020-06-08,680
2020-06-09,622
2020-06-10,617
2020-06-11,593
2020-06-12,551
2020-06-13,474
2020-06-14,426
2020-06-15,457
2020-06-16,469
2020-06-17,436
2020-06-18,448
2020-06-19,418
2020-06-20,388
2020-06-21,362
2020-06-22,387
2020-06-23,400
2020-06-24,318
2020-06-25,351
2020-06-26,329
2020-06-27,294
2020-06-28,264
2020-06-29,324
2020-06-30,313
2020-07-01,310
2020-07-02,296
2020-07-03,276
2020-07-04,246
2020-07-05,253
2020-07-06,281
2020-07-07,289
2020-07-08,293
2020-07-09,281
2020-07-10,260
2020-07-11,237
2020-07-12,263
2020-07-13,259
2020-07-14,271
2020-07-15,282
2020-07-16,255
2020-07-17,265
2020-07-18,236
2020-07-19,218
2020-07-20,247
2020-07-21,244
2020-07-22,246
2020-07-23,264
2020-07-24,246
2020-07-25,225
2020-07-26,232
2020-07-27,237
2020-07-28,242
2020-07-29,236
2020-07-30,237
2020-07-31,249
2020-08-01,228
2020-08-02,229
2020-08-03,230
2020-08-04,247
2020-08-05,238
2020-08-06,241
2020-08-07,231
2020-08-08,210
2020-08-09,204
2020-08-10,209
2020-08-11,214
2020-08-12,210
2020-08-13,211
2020-08-14,193
2020-08-15,213
2020-08-16,215
2020-08-17,235.24
2020-08-18,215.12
2020-08-19,201.36
2020-08-20,201.36
2020-08-21,195.72
2020-08-22,179
2020-08-23,179.12
2020-08-24,202.24
2020-08-25,182.68
2020-08-26,195.52
2020-08-27,219
2020-08-28,222.96
2020-08-29,188.76
2020-08-30,204.92
2020-08-31,206.36
2020-09-01,214.92
2020-09-02,232.32
2020-09-03,217.68
2020-09-04,216.12
2020-09-05,201.44
2020-09-06,183.2
2020-09-07,189.76
2020-09-08,184.28
2020-09-09,186.88
2020-09-10,189.08
2020-09-11,186.72
2020-09-12,165
2020-09-13,168.96
2020-09-14,162.12
2020-09-15,182.36
2020-09-16,186.4
2020-09-17,189.96
2020-09-18,186.84
2020-09-19,185.36
2020-09-20,195.4
2020-09-21,206.88
2020-09-22,204.32
2020-09-23,215
2020-09-24,209.64
2020-09-25,216.96
2020-09-26,203.2
2020-09-27,174.04
2020-09-28,210.4
2020-09-29,216.04
2020-09-30,206
2020-10-01,204.8
2020-10-02,209.28
2020-10-03,199.52
2020-10-04,206.32
2020-10-05,221.52
2020-10-06,218.36
2020-10-07,213.12
2020-10-08,218.24
2020-10-09,226.16
2020-10-10,219.04
2020-10-11,219.64
2020-10-12,237.24
2020-10-13,264.44
2020-10-14,251.96
2020-10-15,267.96
2020-10-16,283.24
2020-10-17,234.76
2020-10-18,260.96
2020-10-19,297.28
2020-10-20,321.52
2020-10-21,349.32
2020-10-22,343.4
2020-10-23,354.48
2020-10-24,372.84
2020-10-25,381.48
2020-10-26,416.72
2020-10-27,417.84
2020-10-28,462.72
2020-10-29,459.92
2020-10-30,493.44
2020-10-31,513.96
2020-11-01,541.44
2020-11-02,569.48
2020-11-03,604.12
2020-11-04,619.84
2020-11-05,642.92
2020-11-06,703.6
2020-11-07,712.04
2020-11-08,729.52
2020-11-09,797.28
2020-11-10,841.04
2020-11-11,872.72
2020-11-12,915.2
2020-11-13,893.2
2020-11-14,888.56
2020-11-15,911.16
2020-11-16,971
2020-11-17,1066.68
2020-11-18,1026.32
2020-11-19,1044.6
2020-11-20,1077.84
2020-11-21,1006.76
2020-11-22,1036.44
2020-11-23,1048.84
2020-11-24,1047.08
2020-11-25,1047.8
2020-11-26,1040.12
2020-11-27,1045.52
2020-11-28,1033.16
2020-11-29,1032.8
2020-11-30,1088.76
2020-12-01,1108.92
2020-12-02,1064.32
2020-12-03,1043.32
2020-12-04,1040.56
2020-12-05,992.56
2020-12-06,998
2020-12-07,1067.28
2020-12-08,1023.32
2020-12-09,994
2020-12-10,979.52
2020-12-11,975.32
2020-12-12,958
2020-12-13,984.6
2020-12-14,950.44
2020-12-15,988.64
2020-12-16,967.96
2020-12-17,952.92
2020-12-18,950.16
2020-12-19,915.28
2020-12-20,924.24
2020-12-21,954.72
2020-12-22,914.12
2020-12-23,917.48
2020-12-24,892.4
2020-12-25,834.92
2020-12-26,837.68
2020-12-27,845.64
2020-12-28,875.92
2020-12-29,898.76
2020-12-30,878.28
2020-12-31,833.92
2021-01-01,791.2
2021-01-02,744.04
2021-01-03,797.84
2021-01-04,762.08
2021-01-05,756.68
2021-01-06,749.68
2021-01-07,724.16
2021-01-08,715.8
2021-01-09,684.72
2021-01-10,692.8
2021-01-11,686.84
2021-01-12,710.84
2021-01-13,680.72
2021-01-14,651.52
2021-01-15,649.8
2021-01-16,633.68
2021-01-17,633.48
2021-01-18,632.4
2021-01-19,597.2
2021-01-20,607.32
2021-01-21,614.56
2021-01-22,607.88
2021-01-23,590.04
2021-01-24,577.6
2021-01-25,576.44
2021-01-26,557.28
2021-01-27,553.72
2021-01-28,551.24
2021-01-29,526.56
2021-01-30,507.8
2021-01-31,496.56
