step,S,I,R,T,n_SI,n_IR
0,10000,10,0,0,3,2
1,9997,11,2,1,5,1
2,9992,15,3,2,2,3
3,9990,14,6,3,5,3
4,9985,16,9,4,3,1
5,9982,18,10,5,4,3
6,9978,19,13,6,3,4
7,9975,18,17,7,7,2
8,9968,23,19,8,7,6
9,9961,24,25,9,5,2
10,9956,27,27,10,6,6
11,9950,27,33,11,12,6
12,9938,33,39,12,12,5
13,9926,40,44,13,11,8
14,9915,43,52,14,13,7
15,9902,49,59,15,15,8
16,9887,56,67,16,20,10
17,9867,66,77,17,23,10
18,9844,79,87,18,29,11
19,9815,97,98,19,27,17
20,9788,107,115,20,39,24
21,9749,122,139,21,46,16
22,9703,152,155,22,53,26
23,9650,179,181,23,55,30
24,9595,204,211,24,69,39
25,9526,234,250,25,72,37
26,9454,269,287,26,87,45
27,9367,311,332,27,85,50
28,9282,346,382,28,93,62
29,9189,377,444,29,114,70
30,9075,421,514,30,109,74
31,8966,456,588,31,148,75
32,8818,529,663,32,159,113
33,8659,575,776,33,150,103
34,8509,622,879,34,152,111
35,8357,663,990,35,192,130
36,8165,725,1120,36,192,142
37,7973,775,1262,37,210,151
38,7763,834,1413,38,228,152
39,7535,910,1565,39,245,164
40,7290,991,1729,40,227,189
41,7063,1029,1918,41,242,200
42,6821,1071,2118,42,249,189
43,6572,1131,2307,43,217,208
44,6355,1140,2515,44,251,211
45,6104,1180,2726,45,253,223
46,5851,1210,2949,46,252,232
47,5599,1230,3181,47,218,206
48,5381,1242,3387,48,242,251
49,5139,1233,3638,49,218,260
50,4921,1191,3898,50,182,180
51,4739,1193,4078,51,172,237
52,4567,1128,4315,52,157,240
53,4410,1045,4555,53,167,202
54,4243,1010,4757,54,157,166
55,4086,1001,4923,55,138,188
56,3948,951,5111,56,116,146
57,3832,921,5257,57,131,151
58,3701,901,5408,58,105,166
59,3596,840,5574,59,112,145
60,3484,807,5719,60,101,148
61,3383,760,5867,61,87,126
62,3296,721,5993,62,73,126
63,3223,668,6119,63,64,120
64,3159,612,6239,64,66,117
65,3093,561,6356,65,52,101
66,3041,512,6457,66,52,110
67,2989,454,6567,67,44,83
68,2945,415,6650,68,38,69
69,2907,384,6719,69,40,77
70,2867,347,6796,70,31,56
71,2836,322,6852,71,27,56
72,2809,293,6908,72,24,57
73,2785,260,6965,73,21,58
74,2764,223,7023,74,23,37
75,2741,209,7060,75,27,40
76,2714,196,7100,76,24,45
77,2690,175,7145,77,17,32
78,2673,160,7177,78,23,31
79,2650,152,7208,79,11,28
80,2639,135,7236,80,16,17
81,2623,134,7253,81,10,19
82,2613,125,7272,82,10,22
83,2603,113,7294,83,10,21
84,2593,102,7315,84,18,24
85,2575,96,7339,85,8,15
86,2567,89,7354,86,6,12
87,2561,83,7366,87,10,15
88,2551,78,7381,88,9,14
89,2542,73,7395,89,2,10
90,2540,65,7405,90,2,10
91,2538,57,7415,91,5,11
92,2533,51,7426,92,5,12
93,2528,44,7438,93,3,11
94,2525,36,7449,94,3,6
95,2522,33,7455,95,4,8
96,2518,29,7463,96,0,5
97,2518,24,7468,97,0,6
98,2518,18,7474,98,1,4
99,2517,15,7478,99,1,7
100,2516,9,7485,100,0,3
